sample_id,wwtp_name,sample_collect_date,sample_collect_time,test_result_date,flow_rate,sample_type,sample_matrix,rec_eff_percent,pcr_target_avg_conc,hum_frac_mic_conc,sample_location_specify,reporting_jurisdiction,institution_type,county_names,zipcode,population_served,wwtp_jurisdiction,capacity_mgd,epaid,sample_location,site_id,major_lab_method,major_lab_method_desc,pcr_target,pcr_gene_target,pcr_gene_target_ref,pretreatment,concentration_method,extraction_method,rec_eff_target_name,rec_eff_spike_matrix,lod_ref,rec_eff_spike_conc,pasteurized,pcr_type,quant_stan_type,stan_ref,inhibition_method,num_no_target_control,lab_id,pcr_target_units,lod_sewage,ntc_amplify,inhibition_detect,other_jurisdiction,inhibition_adjust,hum_frac_mic_unit,hum_frac_target_mic,hum_frac_target_mic_ref
43397,MWRDGC Stickney WRP,2023-07-18,10:30:00,2023-07-18,,120-hr passive sample,raw wastewater,18.52,361200,82636875.0,Intersection of Hobbie and Crosby,CI,not institution specific,17031,60610,24099,IL,1440.0,IL0028053,upstream,17031-005-01-01-03,1.0,This lab changed methods. The Ceres Nanotrap Enhancement Reagant 1 is now added during extraction.,sars-cov-2,n1,Lu et al. (2020). 'US CDC real-time reverse transcription pcr panel for detection of severe acute respirtaory syndrome coronavirus 2.' Emerg. Infect. Dis. 26(8):1654-1665.,no,ceres nanotrap,thermo magmax microbiome ultra nucleic acid isolation kit,bcov vaccine,raw sample,"Armbruster, D.A. & Pry, T. (2008). 'Limit of blank, limit of detection and limit of quantitation.' Clin. Biochem. Rev. 29(Suppl 1).",5.883999655721679,no,qiagen dpcr,RNA,https://www.gtmolecular.com/store,none,1,UIC,copies/L wastewater,4080.0,no,not tested,,,copies/L wastewater,pepper mild mottle virus,"Rosario, K. et al. (2009) 'Pepper mild mottle virus as an indicator of fecal pollution.' Appl. Environ. Microbiol. 75(22):7261-7267."
43397,MWRDGC Stickney WRP,2023-07-18,10:30:00,2023-07-18,,120-hr passive sample,raw wastewater,18.52,0,82636875.0,Intersection of Hobbie and Crosby,CI,not institution specific,17031,60610,24099,IL,1440,IL0028053,upstream,17031-005-01-01-03,1.0,This lab changed methods. The Ceres Nanotrap Enhancement Reagant 1 is now added during extraction.,hmPXV,gtmol_hMPXV,Li et al. (2010). 'Real-time pcr assays for the specific detection of monkeypox virus west african and congo basin strain dna.' J Virological Methods. 169(1):223-227. https://doi.org/10.1016/j.jviromet.2010.07.012,no,ceres nanotrap,thermo magmax microbiome ultra nucleic acid isolation kit,bcov vaccine,raw sample,"Armbruster, D.A. & Pry, T. (2008). 'Limit of blank, limit of detection and limit of quantitation.' Clin. Biochem. Rev. 29(Suppl 1).",5.883999655721679,no,qiagen dpcr,DNA,https://www.gtmolecular.com/store,none,1,UIC,copies/L wastewater,2025.0,no,not tested,,,copies/L wastewater,pepper mild mottle virus,"Rosario, K. et al. (2009) 'Pepper mild mottle virus as an indicator of fecal pollution.' Appl. Environ. Microbiol. 75(22):7261-7267."
43397,MWRDGC Stickney WRP,2023-07-18,10:30:00,2023-07-18,,120-hr passive sample,raw wastewater,18.52,0,82636875.0,Intersection of Hobbie and Crosby,CI,not institution specific,17031,60610,24099,IL,1440,IL0028053,upstream,17031-005-01-01-03,1.0,This lab changed methods. The Ceres Nanotrap Enhancement Reagant 1 is now added during extraction.,hmPXV,G2R_WA,https://www.gtmolecular.com/store,no,ceres nanotrap,thermo magmax microbiome ultra nucleic acid isolation kit,bcov vaccine,raw sample,"Armbruster, D.A. & Pry, T. (2008). 'Limit of blank, limit of detection and limit of quantitation.' Clin. Biochem. Rev. 29(Suppl 1).",5.883999655721679,no,qiagen dpcr,DNA,https://www.gtmolecular.com/store,none,1,UIC,copies/L wastewater,1987.5,no,not tested,,,copies/L wastewater,pepper mild mottle virus,"Rosario, K. et al. (2009) 'Pepper mild mottle virus as an indicator of fecal pollution.' Appl. Environ. Microbiol. 75(22):7261-7267."
43397,MWRDGC Stickney WRP,2023-07-18,10:30:00,2023-07-18,,120-hr passive sample,raw wastewater,18.52,0,82636875.0,Intersection of Hobbie and Crosby,CI,not institution specific,17031,60610,24099,IL,1440,IL0028053,upstream,17031-005-01-01-03,1.0,This lab changed methods. The Ceres Nanotrap Enhancement Reagant 1 is now added during extraction.,hmPXV,gtmol_hMPXV,Li et al. (2010). 'Real-time pcr assays for the specific detection of monkeypox virus west african and congo basin strain dna.' J Virological Methods. 169(1):223-227. https://doi.org/10.1016/j.jviromet.2010.07.012,no,ceres nanotrap,thermo magmax microbiome ultra nucleic acid isolation kit,bcov vaccine,raw sample,"Armbruster, D.A. & Pry, T. (2008). 'Limit of blank, limit of detection and limit of quantitation.' Clin. Biochem. Rev. 29(Suppl 1).",5.883999655721679,no,qiagen dpcr,DNA,https://www.gtmolecular.com/store,none,1,UIC,copies/L wastewater,2025.0,no,not tested,,,copies/L wastewater,pepper mild mottle virus,"Rosario, K. et al. (2009) 'Pepper mild mottle virus as an indicator of fecal pollution.' Appl. Environ. Microbiol. 75(22):7261-7267."
43397,MWRDGC Stickney WRP,2023-07-18,10:30:00,2023-07-18,,120-hr passive sample,raw wastewater,18.52,0,82636875.0,Intersection of Hobbie and Crosby,CI,not institution specific,17031,60610,24099,IL,1440,IL0028053,upstream,17031-005-01-01-03,1.0,This lab changed methods. The Ceres Nanotrap Enhancement Reagant 1 is now added during extraction.,hmPXV,G2R_WA,https://www.gtmolecular.com/store,no,ceres nanotrap,thermo magmax microbiome ultra nucleic acid isolation kit,bcov vaccine,raw sample,"Armbruster, D.A. & Pry, T. (2008). 'Limit of blank, limit of detection and limit of quantitation.' Clin. Biochem. Rev. 29(Suppl 1).",5.883999655721679,no,qiagen dpcr,DNA,https://www.gtmolecular.com/store,none,1,UIC,copies/L wastewater,1987.5,no,not tested,,,copies/L wastewater,pepper mild mottle virus,"Rosario, K. et al. (2009) 'Pepper mild mottle virus as an indicator of fecal pollution.' Appl. Environ. Microbiol. 75(22):7261-7267."
43397,MWRDGC Stickney WRP,2023-07-18,10:30:00,2023-07-18,,120-hr passive sample,raw wastewater,18.52,0,82636875.0,Intersection of Hobbie and Crosby,CI,not institution specific,17031,60610,24099,IL,1440.0,IL0028053,upstream,17031-005-01-01-03,1.0,This lab changed methods. The Ceres Nanotrap Enhancement Reagant 1 is now added during extraction.,FLUAV,InfA1 and InfA2 combined,https://www.gtmolecular.com/store,no,ceres nanotrap,thermo magmax microbiome ultra nucleic acid isolation kit,bcov vaccine,raw sample,"Armbruster, D.A. & Pry, T. (2008). 'Limit of blank, limit of detection and limit of quantitation.' Clin. Biochem. Rev. 29(Suppl 1).",5.883999655721679,no,qiagen dpcr,RNA,https://www.gtmolecular.com/store,none,1,UIC,copies/L wastewater,4050.0,no,not tested,,,copies/L wastewater,pepper mild mottle virus,"Rosario, K. et al. (2009) 'Pepper mild mottle virus as an indicator of fecal pollution.' Appl. Environ. Microbiol. 75(22):7261-7267."
43397,MWRDGC Stickney WRP,2023-07-18,10:30:00,2023-07-18,,120-hr passive sample,raw wastewater,18.52,0,82636875.0,Intersection of Hobbie and Crosby,CI,not institution specific,17031,60610,24099,IL,1440.0,IL0028053,upstream,17031-005-01-01-03,1.0,This lab changed methods. The Ceres Nanotrap Enhancement Reagant 1 is now added during extraction.,FLUBV,InfB,https://www.gtmolecular.com/store,no,ceres nanotrap,thermo magmax microbiome ultra nucleic acid isolation kit,bcov vaccine,raw sample,"Armbruster, D.A. & Pry, T. (2008). 'Limit of blank, limit of detection and limit of quantitation.' Clin. Biochem. Rev. 29(Suppl 1).",5.883999655721679,no,qiagen dpcr,RNA,https://www.gtmolecular.com/store,none,1,UIC,copies/L wastewater,7575.0,no,not tested,,,copies/L wastewater,pepper mild mottle virus,"Rosario, K. et al. (2009) 'Pepper mild mottle virus as an indicator of fecal pollution.' Appl. Environ. Microbiol. 75(22):7261-7267."
43397,MWRDGC Stickney WRP,2023-07-18,10:30:00,2023-07-18,,120-hr passive sample,raw wastewater,18.52,0,82636875.0,Intersection of Hobbie and Crosby,CI,not institution specific,17031,60610,24099,IL,1440.0,IL0028053,upstream,17031-005-01-01-03,1.0,This lab changed methods. The Ceres Nanotrap Enhancement Reagant 1 is now added during extraction.,RSV,RSV-A and RSV-B combined,https://www.gtmolecular.com/store,no,ceres nanotrap,thermo magmax microbiome ultra nucleic acid isolation kit,bcov vaccine,raw sample,"Armbruster, D.A. & Pry, T. (2008). 'Limit of blank, limit of detection and limit of quantitation.' Clin. Biochem. Rev. 29(Suppl 1).",5.883999655721679,no,qiagen dpcr,RNA,https://www.gtmolecular.com/store,none,1,UIC,copies/L wastewater,3900.0,no,not tested,,,copies/L wastewater,pepper mild mottle virus,"Rosario, K. et al. (2009) 'Pepper mild mottle virus as an indicator of fecal pollution.' Appl. Environ. Microbiol. 75(22):7261-7267."
43372,MWRDGC O'Brien WRP,2023-07-18,09:25:00,2023-07-18,,120-hr passive sample,raw wastewater,16.68,900000,240851250.0,5556 N Marmora Avenue,CI,not institution specific,17031,60630,23324,IL,450.0,IL0028088,upstream,17031-004-01-01-01,1.0,This lab changed methods. The Ceres Nanotrap Enhancement Reagant 1 is now added during extraction.,sars-cov-2,n1,Lu et al. (2020). 'US CDC real-time reverse transcription pcr panel for detection of severe acute respirtaory syndrome coronavirus 2.' Emerg. Infect. Dis. 26(8):1654-1665.,no,ceres nanotrap,thermo magmax microbiome ultra nucleic acid isolation kit,bcov vaccine,raw sample,"Armbruster, D.A. & Pry, T. (2008). 'Limit of blank, limit of detection and limit of quantitation.' Clin. Biochem. Rev. 29(Suppl 1).",5.883999655721679,no,qiagen dpcr,RNA,https://www.gtmolecular.com/store,none,1,UIC,copies/L wastewater,4080.0,no,not tested,,,copies/L wastewater,pepper mild mottle virus,"Rosario, K. et al. (2009) 'Pepper mild mottle virus as an indicator of fecal pollution.' Appl. Environ. Microbiol. 75(22):7261-7267."
43372,MWRDGC O'Brien WRP,2023-07-18,09:25:00,2023-07-18,,120-hr passive sample,raw wastewater,16.68,0,240851250.0,5556 N Marmora Avenue,CI,not institution specific,17031,60630,23324,IL,450,IL0028088,upstream,17031-004-01-01-01,1.0,This lab changed methods. The Ceres Nanotrap Enhancement Reagant 1 is now added during extraction.,hmPXV,gtmol_hMPXV,Li et al. (2010). 'Real-time pcr assays for the specific detection of monkeypox virus west african and congo basin strain dna.' J Virological Methods. 169(1):223-227. https://doi.org/10.1016/j.jviromet.2010.07.012,no,ceres nanotrap,thermo magmax microbiome ultra nucleic acid isolation kit,bcov vaccine,raw sample,"Armbruster, D.A. & Pry, T. (2008). 'Limit of blank, limit of detection and limit of quantitation.' Clin. Biochem. Rev. 29(Suppl 1).",5.883999655721679,no,qiagen dpcr,DNA,https://www.gtmolecular.com/store,none,1,UIC,copies/L wastewater,2025.0,no,not tested,,,copies/L wastewater,pepper mild mottle virus,"Rosario, K. et al. (2009) 'Pepper mild mottle virus as an indicator of fecal pollution.' Appl. Environ. Microbiol. 75(22):7261-7267."
