sample_name	library_ID	title	library_strategy	library_source	library_selection	library_layout	platform	instrument_model	design_description	filetype	filename	filename2	filename3	filename4	assembly	fasta_file	enrichment_kit	amplicon_PCR_primer_scheme	library_preparation_kit	amplicon_size	quality_control_method	quality_control_method_version	quality_control_determination	quality_control_issues	quality_control_details	dehosting_method	sequence_submitter_contact_email	raw_sequence_data_processing_method 
43138	43138	Targeted Amplification sequencing of wastewater sample	AMPLICON	VIRAL RNA	PCR	paired	ILLUMINA	NextSeq 2000	Viral RNA is converted into cDNA and made into libraries with QIAseq DIRECT SARS-CoV-2 Kits	fastq							QIAseq DIRECT SARS-CoV-2	QIAseq DIRECT SARS-CoV-2 - Boosted	QIAseq DIRECT Unique Dual Index prep	250bp						SRA human read removal tool		no further processing
60304	60304																											
43416	43416																											
58123	58123																											
62602	62602																											
44027	44027																											
58861	58861																											
53354	53354																											
53415	53415																											
60620	60620																											
44031	44031																											
43180	43180																											
53430	53430																											
43387	43387																											
59845	59845																											
58612	58612																											
43175	43175																											
53397	53397																											
58853	58853																											
62587	62587																											
58862	58862																											
62562	62562																											
44028	44028																											
43317	43317																											
43354	43354																											
59834	59834																											
58796	58796																											
43230	43230																											
58732	58732																											
59841	59841																											
53403	53403																											
43091	43091																											
61323	61323																											
53436	53436																											
53362	53362																											
54542	54542																											
59061	59061																											
60613	60613																											
58620	58620																											
43989	43989																											
53393	53393																											
53428	53428																											
53425	53425																											
54898	54898																											
43313	43313																											
60635	60635																											
58919	58919																											
60338	60338																											
58794	58794																											
58934	58934																											
53378	53378																											
59827	59827																											
62648	62648																											
53429	53429																											
53388	53388																											
53364	53364																											
61343	61343																											
54926	54926																											
54708	54708																											
59801	59801																											
43357	43357																											
61304	61304																											
53404	53404																											
60318	60318																											
60331	60331																											
53359	53359																											
53433	53433																											
53377	53377																											
43328	43328																											
58873	58873																											
64973	64973																											
53434	53434																											
59879	59879																											
59868	59868																											
61298	61298																											
53392	53392																											
59797	59797																											
60633	60633																											
43090	43090																											
59820	59820																											
58792	58792																											
54569	54569																											
60618	60618																											
62502	62502																											
61360	61360																											
43332	43332																											
43331	43331																											
62612	62612																											
